observation_date,CPIAUCSL,
1/1/47,22.332,
1/1/48,24.045,
1/1/49,23.809,
1/1/50,24.063,
1/1/51,25.973,
1/1/52,26.567,
1/1/53,26.768,
1/1/54,26.865,
1/1/55,26.796,
1/1/56,27.191,
1/1/57,28.113,
1/1/58,28.881,
1/1/59,29.15,
1/1/60,29.585,
1/1/61,29.902,
1/1/62,30.253,
1/1/63,30.633,
1/1/64,31.038,
1/1/65,31.528,
1/1/66,32.471,
1/1/67,33.375,
1/1/68,34.792,
1/1/69,36.683,
1/1/70,38.842,
1/1/71,40.483,
1/1/72,41.808,
1/1/73,44.425,
1/1/74,49.317,
1/1/75,53.825,
1/1/76,56.933,
1/1/77,60.617,
1/1/78,65.242,
1/1/79,72.583,
1/1/80,82.383,
1/1/81,90.933,
1/1/82,96.533,
1/1/83,99.583,
1/1/84,103.933,
1/1/85,107.6,
1/1/86,109.692,
1/1/87,113.617,
1/1/88,118.275,
1/1/89,123.942,
1/1/90,130.658,
1/1/91,136.167,
1/1/92,140.308,
1/1/93,144.475,
1/1/94,148.225,
1/1/95,152.383,
1/1/96,156.858,
1/1/97,160.525,
1/1/98,163.008,
1/1/99,166.583,
1/1/00,172.192,
1/1/01,177.042,
1/1/02,179.867,
1/1/03,184,
1/1/04,188.908,
1/1/05,195.267,
1/1/06,201.558,
1/1/07,207.344,
1/1/08,215.254,
1/1/09,214.565,
1/1/10,218.076,
1/1/11,224.923,
1/1/12,229.586,
1/1/13,232.952,
1/1/14,236.715,
1/1/15,237.002,
1/1/16,240.005,
1/1/17,245.121,
1/1/18,251.1,
1/1/19,255.653,
1/1/20,258.846,
1/1/21,270.966,
1/1/22,292.621,
1/1/23,304.701,
1/1/24,313.698,